Unnamed: 0,TIMESTAMP,RECORD,ZenDeg,AzDeg,AirMass,CRBattVolt_Avg,CRPTemp_Avg,ProcessTime_s_Max,GLOBAL_Avg,GLOBAL_Std,GLOBAL_Min,GLOBAL_Max,DIRECT_Avg,DIRECT_Std,DIRECT_Min,DIRECT_Max,DIFFUSE_Avg,DIFFUSE_Std,DIFFUSE_Min,DIFFUSE_Max,UPWARD_SW_Avg,UPWARD_SW_Std,UPWARD_SW_Min,UPWARD_SW_Max,DOWNWARD_Avg,DOWNWARD_Std,DOWNWARD_Min,DOWNWARD_Max,DWIRTEMP_Avg,DWIRTEMP_Std,DWIRTEMP_Min,DWIRTEMP_Max,UPWARD_LW_Avg,UPWARD_LW_Std,UPWARD_LW_Min,UPWARD_LW_Max,UWIRTEMP_Avg,UWIRTEMP_Std,UWIRTEMP_Min,UWIRTEMP_Max,DNITEMPC_Avg,DNITEMPC_Std,DNITEMPC_Min,DNITEMPC_Max,UVB_Avg,UVB_Std,UVB_Min,UVB_Max,SOIL_Avg,AIR_TEMPERATURE_Avg,RELATIVE_HUMIDITY_Avg,DEW_POINT_Avg,PRESSURE_Avg,GLOBTT_Avg,GLOBTT_Std,GLOBTT_Min,GLOBTT_Max,GH_IRCOR_Avg,GH_IRCOR_Std,GH_IRCOR_Min,GH_IRCOR_Max,DH_IRCOR_Avg,DH_IRCOR_Std,DH_IRCOR_Min,DH_IRCOR_Max,RN_Avg,RN_Std,RN_Min,RN_Max,WS_ms_Mean,Wdir_Mean,Wdir_Std,WS_Std,WS_Max,WD_SMM,PPT_Tot,PPT_Accum,GH_CALC_Avg,UVTEMP_Avg,UVSIGNAL_Avg,DWSIGNAL_Avg,UWSIGNAL_Avg,DWIRTEMPC_Avg,DWTERMO_Avg,UWIRTEMPC_Avg,UWTERMO_Avg,UVBw_Avg,UVBw_Std,UVBw_Min,UVBw_Max,dif_GH_CALC_GLOBAL,ratio_GH_CALC_GLOBAL,abs_dif_GH_CALC_GLOBAL,pct_dif_GH_CALC_GLOBAL,sum_SW,percent
3240,2023-01-03 00:00:00,301539,172.377,201.742,0.0,12.46,301.77,1.13,-1.9385,0.019,-1.98644,-1.91795,-0.172781,0.015,-0.178739,-0.134054,-2.70233,0.026,-2.75422,-2.67438,-0.00911436,0.015,-0.0341788,0.0,359.044,0.128,358.746,359.243,287.34,0.009,20.4682,20.4981,429.498,0.072,429.362,429.687,22.3985,0.006,22.3877,22.4096,19.6697,0.006,19.659,19.6807,3.20296e-05,0.0,1.91685e-05,5.77834e-05,-22.93,20.87,86.6,291.72999999999996,947.5,-2.26864,0.02,-2.31792,-2.238,-0.620407,0.018,-0.66808,-0.59754,-1.16613,0.024,-1.21294,-1.13787,-71.065,0.165,-71.4218,-70.8198,0.28,320.4,11.37,0.034,0.34,320,0.0,0.0,-2.70233,298.31,0.00013753,-429.355,-46.3843,20.4841,-62.497,22.3985,-3.1447,3.20296e-05,0.0,1.91685e-05,5.77834e-05,-0.76383,1.3940314676296106,0.76383,39.40314676296106,-2.531075974674866,-0.02531075974674866
3241,2023-01-03 00:01:00,301540,172.463,200.122,0.0,12.47,301.75,1.131,-1.98759,0.011,-2.0207,-1.9522,-0.160865,0.022,-0.178739,-0.134054,-2.84071,0.051,-2.9538,-2.75422,-0.0182287,0.017,-0.0341788,0.0,358.613,0.13,358.365,358.817,287.34,0.007,20.4483,20.4807,429.346,0.142,429.09,429.533,22.3837,0.006,22.3748,22.3946,19.6618,0.007,19.647,19.6771,3.13817e-05,0.0,1.91764e-05,5.77763e-05,-22.98,20.84,86.9,291.75,947.5,-2.3046,0.021,-2.35789,-2.27796,-0.662785,0.011,-0.697222,-0.628723,-1.29669,0.048,-1.40538,-1.21175,-71.3777,0.06,-71.5219,-71.2695,0.169,340.0,33.03,0.039,0.28,309,0.0,0.0,-2.84071,298.31,0.000134779,-431.54,-47.3386,20.4645,-62.8152,22.3837,-3.2094,3.13817e-05,0.0,1.91764e-05,5.77763e-05,-0.8531200000000001,1.4292233307674118,0.8531200000000001,42.92233307674119,-2.6812348149621723,-0.026812348149621724
3242,2023-01-03 00:02:00,301541,172.543,198.464,0.0,12.47,301.72999999999996,1.129,-2.00129,0.019,-2.05495,-1.98645,-0.14746,0.02,-0.178739,-0.134054,-2.96977,0.034,-3.03363,-2.91389,-0.0341788,0.0,-0.0341788,-0.0341788,358.179,0.115,357.996,358.408,287.34,0.006,20.4359,20.46,429.079,0.058,428.972,429.175,22.3687,0.006,22.3555,22.3797,19.6467,0.006,19.6362,19.6594,3.39384e-05,0.0,-1.92611e-05,5.77715e-05,-22.98,20.9,86.0,291.64,947.5,-2.3459,0.018,-2.35789,-2.31792,-0.669535,0.018,-0.72125,-0.652752,-1.41765,0.032,-1.48045,-1.36427,-71.5355,0.167,-71.8073,-71.21,0.107,331.3,31.01,0.018,0.14,0,0.0,0.0,-2.96977,298.31,0.000145782,-433.804,-49.9907,20.4462,-63.1447,22.3687,-3.3892,3.39384e-05,0.0,-1.92611e-05,5.77715e-05,-0.96848,1.4839278665260907,0.96848,48.39278665260907,-2.823557136909577,-0.028235571369095772
3243,2023-01-03 00:03:00,301542,172.616,196.777,0.0,12.47,301.71,1.129,-2.02526,0.021,-2.05495,-1.98644,-0.14597,0.02,-0.178738,-0.134054,-2.97508,0.025,-2.99372,-2.91387,-0.0467109,0.016,-0.0683576,-0.0341786,358.35,0.152,358.113,358.633,287.34,0.008,20.4154,20.4464,429.186,0.052,429.05,429.272,22.3553,0.007,22.3435,22.3661,19.6294,0.006,19.6185,19.6409,2.88239e-05,0.0,1.91701e-05,5.77811e-05,-22.93,20.9,86.0,291.64,947.5,-2.36853,0.018,-2.39785,-2.35787,-0.698992,0.021,-0.730445,-0.65684,-1.42936,0.022,-1.45481,-1.3726,-71.4886,0.143,-71.6836,-71.1818,0.069,300.5,24.04,0.019,0.12,303,0.0,0.0,-2.97508,298.31,0.000123777,-432.016,-47.2496,20.4307,-62.8844,22.3553,-3.20337,2.88239e-05,0.0,1.91701e-05,5.77811e-05,-0.9498200000000003,1.468986698004207,0.9498200000000003,46.898669800420706,-2.8303205160388494,-0.028303205160388496
3244,2023-01-03 00:04:00,301543,172.682,195.052,0.0,12.47,301.69,1.131,-1.98645,0.02,-2.0207,-1.9522,-0.154907,0.022,-0.178739,-0.134054,-2.86998,0.048,-2.95379,-2.79414,-0.054686,0.019,-0.102536,-0.0341786,358.611,0.057,358.529,358.713,287.34,0.006,20.4043,20.4287,429.378,0.931,429.085,434.379,22.3682,0.158,22.3197,23.216,19.6164,0.006,19.6033,19.6261,2.88186e-05,0.0,0.0,5.77763e-05,-22.91,20.9,86.0,291.64,947.5,-2.36055,0.01,-2.39785,-2.35787,-0.667128,0.02,-0.702332,-0.63179,-1.33235,0.048,-1.41728,-1.25524,-71.3789,0.94,-76.4317,-71.0922,0.155,228.7,12.82,0.058,0.28,228,0.0,0.0,-2.86998,298.32,0.000123777,-429.753,-45.552,20.4188,-62.5551,22.3682,-3.08827,2.88186e-05,0.0,0.0,5.77763e-05,-0.8835299999999999,1.4447783734803292,0.8835299999999999,44.477837348032914,-2.716334798822808,-0.027163347988228084
3245,2023-01-03 00:05:00,301544,172.741,193.296,0.0,12.47,301.66999999999996,1.13,-2.00129,0.017,-2.0207,-1.98644,-0.17427,0.013,-0.178739,-0.134054,-2.80211,0.026,-2.83405,-2.75421,-0.0694968,0.011,-0.102536,-0.0341786,359.363,0.707,358.501,360.775,287.34,0.007,20.3827,20.4135,429.194,0.052,429.088,429.281,22.3208,0.006,22.3108,22.3303,19.6053,0.006,19.5944,19.6157,3.26642e-05,0.0,1.91693e-05,5.77811e-05,-22.91,20.9,86.0,291.64,947.5,-2.35921,0.013,-2.39785,-2.31791,-0.699955,0.022,-0.737075,-0.667059,-1.28545,0.024,-1.33446,-1.21651,-70.4622,0.723,-71.3154,-68.961,0.299,170.8,50.93,0.165,0.6,157,0.0,0.0,-2.80211,298.32,0.000140281,-423.894,-44.1427,20.4011,-61.7021,22.3208,-2.99272,3.26642e-05,0.0,1.91693e-05,5.77811e-05,-0.8008199999999999,1.400151902023195,0.8008199999999999,40.015190202319495,-2.629236754156433,-0.026292367541564332
3246,2023-01-03 00:06:00,301545,172.792,191.513,0.0,12.46,301.65999999999997,1.13,-1.9305,0.019,-1.98644,-1.91794,-0.171291,0.017,-0.178739,-0.134054,-2.71962,0.029,-2.75422,-2.67439,-0.0660788,0.012,-0.102536,-0.0341786,362.05,0.702,360.981,363.396,287.34,0.005,20.375,20.3961,429.205,0.17,428.981,429.511,22.3093,0.005,22.2974,22.3205,19.5932,0.007,19.5781,19.6068,2.75451e-05,0.0,1.91693e-05,5.77716e-05,-22.88,20.9,86.0,291.64,947.5,-2.3299,0.023,-2.35788,-2.27796,-0.687597,0.024,-0.739098,-0.657834,-1.27105,0.022,-1.31776,-1.23078,-67.7757,0.529,-68.7585,-66.7855,0.219,40.84,8.55,0.079,0.33,33,0.0,0.0,-2.71962,298.32,0.000118276,-404.863,-42.9996,20.3868,-58.932,22.3093,-2.91523,2.75451e-05,0.0,1.91693e-05,5.77716e-05,-0.7891199999999998,1.4087645687645687,0.7891199999999998,40.876456876456864,-2.549682679915457,-0.025496826799154573
3247,2023-01-03 00:07:00,301546,172.837,189.706,0.0,12.46,301.64,1.142,-1.92366,0.032,-1.9522,-1.84945,-0.17576,0.011,-0.178739,-0.134054,-2.65443,0.041,-2.75422,-2.59455,-0.0603825,0.017,-0.102536,-0.0341788,365.798,1.245,363.573,367.869,287.34,0.007,20.3567,20.3856,429.62,0.055,429.489,429.741,22.3013,0.004,22.2924,22.308,19.5808,0.006,19.5674,19.5941,3.0745e-05,0.0,1.91693e-05,5.77811e-05,-22.91,20.9,86.4,291.7,947.56,-2.26463,0.038,-2.31792,-2.19803,-0.761452,0.014,-0.788153,-0.731395,-1.29991,0.022,-1.35349,-1.26767,-64.5231,1.202,-66.6016,-62.5698,0.359,44.19,6.044,0.059,0.47,55,0.0,0.0,-2.65443,298.32,0.000132029,-378.575,-36.1864,20.373,-55.1056,22.3013,-2.45331,3.0745e-05,0.0,1.91693e-05,5.77811e-05,-0.7307700000000001,1.3798852188016595,0.7307700000000001,37.98852188016594,-2.4800417310275518,-0.02480041731027552
3248,2023-01-03 00:08:00,301547,172.874,187.869,0.0,12.46,301.62,1.13,-1.81521,0.028,-1.84946,-1.78096,-0.156397,0.022,-0.17874,-0.134055,-2.53469,0.03,-2.59456,-2.47482,-0.0250645,0.015,-0.034179,0.0,370.062,1.174,368.062,371.976,287.34,0.004,20.3552,20.3691,429.89,0.12,429.657,430.077,22.2955,0.005,22.2862,22.305,19.5712,0.006,19.5583,19.5855,3.07419e-05,0.0,1.91701e-05,5.77811e-05,-22.91,20.87,87.6,291.9,947.583,-2.09546,0.054,-2.19803,-1.99821,-0.744024,0.012,-0.767168,-0.719634,-1.28626,0.015,-1.31413,-1.25931,-60.5474,1.051,-62.2961,-58.8389,0.516,55.53,3.547,0.106,0.68,59,0.0,0.0,-2.53469,298.31,0.000132029,-348.926,-31.7034,20.364,-50.7898,22.2955,-2.14938,3.07419e-05,0.0,1.91701e-05,5.77811e-05,-0.7194799999999999,1.396361853449463,0.7194799999999999,39.63618534494631,-2.379501049973721,-0.023795010499737212
3249,2023-01-03 00:09:00,301548,172.903,186.026,0.0,12.46,301.59999999999997,1.13,-1.75927,0.032,-1.78096,-1.67821,-0.177251,0.008,-0.17874,-0.134055,-2.43491,0.034,-2.51474,-2.39498,-0.0011393,0.006,-0.034179,0.0,374.023,1.029,372.154,375.634,287.34,0.006,20.3425,20.3664,430.067,0.038,429.986,430.168,22.2954,0.005,22.284,22.3073,19.5632,0.006,19.547,19.5762,3.07406e-05,0.0,1.91693e-05,5.77762e-05,-22.85,20.74,88.0,291.84999999999997,947.547,-1.90897,0.066,-1.99822,-1.7984,-0.772366,0.02,-0.803937,-0.721629,-1.2847,0.016,-1.31887,-1.24677,-56.8161,1.017,-58.6938,-55.2591,0.721,59.53,2.789,0.03,0.78,60,0.0,0.0,-2.43491,298.31,0.000132029,-321.474,-29.0736,20.3579,-46.7938,22.2954,-1.97109,3.07406e-05,0.0,1.91693e-05,5.77762e-05,-0.67564,1.3840456553002098,0.67564,38.40456553002098,-2.2590170247933576,-0.022590170247933576
